protein,cluster,table,tissue
LOC_Os03g06240.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os06g37180.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g58890.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g32790.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os10g42940.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g50830.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g01240.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g56970.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os06g23440.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os09g34970.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g48050.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g29320.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os09g10940.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g58840.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g09390.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os12g41715.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g37800.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g09320.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os08g41110.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g36200.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os12g04990.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os06g29430.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os10g34670.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os09g29630.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g40890.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g67980.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g42960.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g57640.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os10g33230.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g16630.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g13220.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g06350.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g10840.1,Cluster_3,S2B_229mRNAs,embryo
