locus,protein,endosperm_protein_log2fc
LOC_Os12g27830,LOC_Os12g27830.1,-0.29
LOC_Os01g08450,LOC_Os01g08450.1,0.54
LOC_Os01g47410,LOC_Os01g47410.1,-0.3
LOC_Os01g73790,LOC_Os01g73790.1,-0.35
LOC_Os04g36800,LOC_Os04g36800.1,-0.57
LOC_Os03g20680,LOC_Os03g20680.1,-0.8
LOC_Os12g37960,LOC_Os12g37960.1,-0.21
LOC_Os07g44660,LOC_Os07g44660.1,-0.79
LOC_Os05g49150,LOC_Os05g49150.1,-0.69
LOC_Os04g52850,LOC_Os04g52850.1,-0.38
LOC_Os07g42950,LOC_Os07g42950.1,-0.48
LOC_Os08g41250,LOC_Os08g41250.1,-0.46
LOC_Os10g32680,LOC_Os10g32680.1,-0.44
LOC_Os10g39620,LOC_Os10g39620.1,-0.58
LOC_Os09g32650,LOC_Os09g32650.1,-0.57
LOC_Os02g22780,LOC_Os02g22780.1,-0.44
LOC_Os01g16430,LOC_Os01g16430.1,-0.45
LOC_Os01g16040,LOC_Os01g16040.1,-0.44
LOC_Os08g09200,LOC_Os08g09200.1,-0.38
LOC_Os05g40420,LOC_Os05g40420.1,-0.32
LOC_Os09g17730,LOC_Os09g17730.1,-0.44
LOC_Os04g51910,LOC_Os04g51910.1,-0.61
LOC_Os08g33370,LOC_Os08g33370.1,-0.38
LOC_Os07g08840,LOC_Os07g08840.1,-0.38
LOC_Os09g29840,LOC_Os09g29840.1,-0.41
LOC_Os03g04750,LOC_Os03g04750.1,1.02
LOC_Os12g12850,LOC_Os12g12850.1,-0.33
LOC_Os02g21460,LOC_Os02g21460.1,-0.45
LOC_Os09g10600,LOC_Os09g10600.1,-0.8
LOC_Os06g45120,LOC_Os06g45120.1,-0.36
LOC_Os02g36974,LOC_Os02g36974.1,-0.36
LOC_Os01g53930,LOC_Os01g53930.1,-0.32
LOC_Os06g31070,LOC_Os06g31070.1,-0.52
LOC_Os02g10800,LOC_Os02g10800.1,-0.42
LOC_Os08g23180,LOC_Os08g23180.1,-0.42
LOC_Os07g26690,LOC_Os07g26690.1,-0.69
LOC_Os01g03760,LOC_Os01g03760.1,-0.92
LOC_Os01g09000,LOC_Os01g09000.1,-0.48
LOC_Os10g41960,LOC_Os10g41960.1,-0.25
LOC_Os03g07570,LOC_Os03g07570.1,-0.43
LOC_Os12g07740,LOC_Os12g07740.1,-0.4
LOC_Os05g33570,LOC_Os05g33570.1,-0.35
LOC_Os12g05540,LOC_Os12g05540.1,-0.65
LOC_Os03g16020,LOC_Os03g16020.1,0.78
LOC_Os04g56646,LOC_Os04g56646.1,-0.48
LOC_Os03g48850,LOC_Os03g48850.1,-0.7
LOC_Os03g08440,LOC_Os03g08440.1,-0.43
LOC_Os12g25710,LOC_Os12g25710.1,-0.49
LOC_Os10g36180,LOC_Os10g36180.1,-0.77
LOC_Os04g32950,LOC_Os04g32950.1,-0.54
LOC_Os05g26350,LOC_Os05g26350.1,-1.14
LOC_Os06g14370,LOC_Os06g14370.2,-0.96
LOC_Os02g10510,LOC_Os02g10510.1,-0.48
LOC_Os02g47590,LOC_Os02g47590.1,-0.32
LOC_Os08g23150,LOC_Os08g23150.1,-0.22
LOC_Os07g34520,LOC_Os07g34520.1,0.66
LOC_Os09g37610,LOC_Os09g37610.1,-1.22
LOC_Os12g04440,LOC_Os12g04440.1,-0.4
LOC_Os03g11410,LOC_Os03g11410.1,-0.67
LOC_Os03g21950,LOC_Os03g21950.1,-0.59
LOC_Os04g42920,LOC_Os04g42920.1,-0.55
LOC_Os02g38050,LOC_Os02g38050.1,-0.55
LOC_Os12g38000,LOC_Os12g38000.1,-0.36
LOC_Os03g28410,LOC_Os03g28410.1,-0.52
LOC_Os05g28280,LOC_Os05g28280.1,-0.31
LOC_Os06g04200,LOC_Os06g04200.1,-0.39
LOC_Os05g02650,LOC_Os05g02650.1,-0.71
LOC_Os02g07120,LOC_Os02g07120.1,-0.27
LOC_Os12g05430,LOC_Os12g05430.1,-0.52
LOC_Os01g22490,LOC_Os01g22490.1,-0.38
LOC_Os09g36830,LOC_Os09g36830.1,-0.22
LOC_Os02g42320,LOC_Os02g42320.2,-0.9
LOC_Os06g30370,LOC_Os06g30370.1,-0.41
LOC_Os02g32030,LOC_Os02g32030.1,-0.35
LOC_Os02g28810,LOC_Os02g28810.1,0.62
LOC_Os09g32800,LOC_Os09g32800.1,-0.46
LOC_Os07g44430,LOC_Os07g44430.1,-0.27
LOC_Os02g52940,LOC_Os02g52940.2,-1.18
LOC_Os11g10480,LOC_Os11g10480.1,-0.41
LOC_Os03g60550,LOC_Os03g60550.1,-0.43
LOC_Os01g56150,LOC_Os01g56150.1,-0.39
LOC_Os05g11780,LOC_Os05g11780.1,-0.45
LOC_Os06g11090,LOC_Os06g11090.1,-0.23
LOC_Os07g03230,LOC_Os07g03230.1,-0.44
LOC_Os08g06020,LOC_Os08g06020.1,-0.47
LOC_Os01g66940,LOC_Os01g66940.1,-0.43
LOC_Os10g26060,LOC_Os10g26060.1,-0.35
LOC_Os08g44450,LOC_Os08g44450.1,-0.3
LOC_Os04g42140,LOC_Os04g42140.1,-0.27
LOC_Os02g14600,LOC_Os02g14600.1,0.24
LOC_Os02g51750,LOC_Os02g51750.1,-0.54
LOC_Os07g14270,LOC_Os07g14270.2,-0.32
LOC_Os11g34450,LOC_Os11g34450.1,-0.6
LOC_Os07g41810,LOC_Os07g41810.1,-0.57
LOC_Os05g06310,LOC_Os05g06310.1,1
LOC_Os08g02420,LOC_Os08g02420.1,-0.43
LOC_Os01g50910,LOC_Os01g50910.1,-0.62
LOC_Os11g06750,LOC_Os11g06750.1,-0.56
LOC_Os12g22030,LOC_Os12g22030.1,-0.28
LOC_Os02g17390,LOC_Os02g17390.1,-0.54
LOC_Os06g06560,LOC_Os06g06560.1,-0.38
LOC_Os03g25350,LOC_Os03g25350.1,-0.46
LOC_Os02g21660,LOC_Os02g21660.1,-0.48
LOC_Os05g51540,LOC_Os05g51540.1,1.11
LOC_Os04g52130,LOC_Os04g52130.1,-0.47
LOC_Os07g38970,LOC_Os07g38970.1,-0.4
LOC_Os03g55280,LOC_Os03g55280.1,-0.57
LOC_Os03g58050,LOC_Os03g58050.1,-0.41
LOC_Os09g26730,LOC_Os09g26730.1,-0.32
LOC_Os05g05950,LOC_Os05g05950.1,-0.58
LOC_Os02g05340,LOC_Os02g05340.1,-0.56
LOC_Os08g03640,LOC_Os08g03640.1,-0.15
LOC_Os03g16940,LOC_Os03g16940.1,-0.22
LOC_Os08g43190,LOC_Os08g43190.1,-0.4
LOC_Os03g41419,LOC_Os03g41419.1,-0.43
LOC_Os08g42980,LOC_Os08g42980.1,-0.44
LOC_Os09g26880,LOC_Os09g26880.1,-0.53
LOC_Os06g09679,LOC_Os06g09679.1,-0.18
LOC_Os12g43600,LOC_Os12g43600.1,-0.8
LOC_Os10g35050,LOC_Os10g35050.1,-0.73
LOC_Os11g06390,LOC_Os11g06390.1,-0.43
LOC_Os01g68770,LOC_Os01g68770.1,-0.42
LOC_Os04g56290,LOC_Os04g56290.1,-0.39
LOC_Os12g37870,LOC_Os12g37870.1,-0.5
LOC_Os09g12660,LOC_Os09g12660.1,-0.36
LOC_Os02g48110,LOC_Os02g48110.1,-0.35
LOC_Os06g43760,LOC_Os06g43760.1,-0.33
LOC_Os08g33720,LOC_Os08g33720.1,0.41
LOC_Os03g11440,LOC_Os03g11440.1,-0.67
LOC_Os04g19740,LOC_Os04g19740.1,-0.75
LOC_Os07g10250,LOC_Os07g10250.1,-0.42
LOC_Os02g43010,LOC_Os02g43010.1,-0.53
LOC_Os01g08560,LOC_Os01g08560.1,-0.38
LOC_Os02g25640,LOC_Os02g25640.1,-0.25
LOC_Os05g26902,LOC_Os05g26902.1,-0.24
LOC_Os04g45970,LOC_Os04g45970.2,-0.21
LOC_Os10g22990,LOC_Os10g22990.1,-0.52
LOC_Os02g15090,LOC_Os02g15090.1,-0.15
LOC_Os11g26850,LOC_Os11g26850.2,-0.45
LOC_Os01g71090,LOC_Os01g71090.1,-0.18
LOC_Os03g21040,LOC_Os03g21040.2,-0.3
LOC_Os06g09450,LOC_Os06g09450.1,-0.26
LOC_Os05g08990,LOC_Os05g08990.1,-0.58
LOC_Os06g04270,LOC_Os06g04270.1,-0.85
LOC_Os11g02389,LOC_Os11g02389.1,0.61
LOC_Os01g55690,LOC_Os01g55690.1,-0.29
LOC_Os07g40580,LOC_Os07g40580.1,-0.14
LOC_Os08g03690,LOC_Os08g03690.1,0.71
LOC_Os11g28270,LOC_Os11g28270.1,-0.54
LOC_Os02g57260,LOC_Os02g57260.1,0.52
LOC_Os12g16890,LOC_Os12g16890.1,0.14
LOC_Os03g63860,LOC_Os03g63860.1,-0.52
LOC_Os05g05930,LOC_Os05g05930.1,-1.12
LOC_Os03g14450,LOC_Os03g14450.1,-0.25
LOC_Os12g01260,LOC_Os12g01260.1,-0.61
LOC_Os11g40140,LOC_Os11g40140.1,-0.43
LOC_Os07g08340,LOC_Os07g08340.1,-0.61
LOC_Os09g21110,LOC_Os09g21110.1,-0.31
LOC_Os02g01560,LOC_Os02g01560.1,0.64
LOC_Os05g25850,LOC_Os05g25850.1,-0.19
LOC_Os01g16890,LOC_Os01g16890.1,0.48
LOC_Os02g47140,LOC_Os02g47140.1,-0.6
LOC_Os07g23880,LOC_Os07g23880.1,-0.35
LOC_Os01g67860,LOC_Os01g67860.1,-0.16
LOC_Os05g48340,LOC_Os05g48340.1,-0.41
LOC_Os02g02890,LOC_Os02g02890.1,-0.32
LOC_Os01g16900,LOC_Os01g16900.1,-0.27
LOC_Os05g24601,LOC_Os05g24601.1,-0.69
LOC_Os03g59310,LOC_Os03g59310.1,-0.41
LOC_Os11g01300,LOC_Os11g01300.1,-0.88
LOC_Os04g52460,LOC_Os04g52460.1,-0.95
LOC_Os05g43830,LOC_Os05g43830.1,0.29
LOC_Os03g49190,LOC_Os03g49190.1,-0.34
LOC_Os02g33450,LOC_Os02g33450.1,-0.18
LOC_Os01g12650,LOC_Os01g12650.1,-0.64
LOC_Os06g42000,LOC_Os06g42000.1,-0.58
LOC_Os09g15520,LOC_Os09g15520.1,-0.27
LOC_Os02g32350,LOC_Os02g32350.1,-0.32
LOC_Os04g55060,LOC_Os04g55060.1,0.45
LOC_Os03g02050,LOC_Os03g02050.1,0.56
LOC_Os07g07410,LOC_Os07g07410.1,-0.44
LOC_Os01g32080,LOC_Os01g32080.1,-0.16
LOC_Os05g44340,LOC_Os05g44340.1,-0.4
LOC_Os09g07830,LOC_Os09g07830.1,-0.48
LOC_Os01g24690,LOC_Os01g24690.1,0.82
LOC_Os03g50340,LOC_Os03g50340.1,-0.45
LOC_Os05g49200,LOC_Os05g49200.1,-0.36
LOC_Os07g33240,LOC_Os07g33240.1,-0.27
LOC_Os03g14990,LOC_Os03g14990.1,-0.31
LOC_Os05g22940,LOC_Os05g22940.1,-0.73
LOC_Os05g02530,LOC_Os05g02530.1,-0.26
LOC_Os07g48490,LOC_Os07g48490.2,-0.18
LOC_Os03g56790,LOC_Os03g56790.1,-0.43
LOC_Os06g04290,LOC_Os06g04290.1,-0.21
LOC_Os11g06760,LOC_Os11g06760.1,-0.45
LOC_Os01g43090,LOC_Os01g43090.1,-0.65
LOC_Os02g03860,LOC_Os02g03860.1,-0.41
LOC_Os01g13430,LOC_Os01g13430.1,-0.6
LOC_Os10g35110,LOC_Os10g35110.1,-0.28
LOC_Os02g57640,LOC_Os02g57640.1,-0.38
LOC_Os05g01270,LOC_Os05g01270.1,-0.59
LOC_Os05g08840,LOC_Os05g08840.1,-0.44
LOC_Os05g33380,LOC_Os05g33380.1,-0.19
LOC_Os02g32660,LOC_Os02g32660.1,-0.31
LOC_Os03g10340,LOC_Os03g10340.1,-0.28
LOC_Os08g30060,LOC_Os08g30060.1,-0.32
LOC_Os09g32540,LOC_Os09g32540.1,-0.64
LOC_Os01g60190,LOC_Os01g60190.1,-0.16
LOC_Os12g17910,LOC_Os12g17910.1,-0.4
LOC_Os06g12450,LOC_Os06g12450.1,-0.26
LOC_Os06g45710,LOC_Os06g45710.1,-0.26
LOC_Os01g16030,LOC_Os01g16030.1,-0.43
LOC_Os10g33800,LOC_Os10g33800.1,-0.21
LOC_Os05g31000,LOC_Os05g31000.1,0.44
LOC_Os04g41960,LOC_Os04g41960.1,-0.12
LOC_Os05g06480,LOC_Os05g06480.1,-0.86
LOC_Os02g58340,LOC_Os02g58340.1,-0.15
LOC_Os01g04730,LOC_Os01g04730.1,-0.34
LOC_Os12g41390,LOC_Os12g41390.1,-0.27
LOC_Os11g29400,LOC_Os11g29400.1,-0.31
LOC_Os04g01290,LOC_Os04g01290.1,-0.22
LOC_Os05g02520,LOC_Os05g02520.1,-0.12
LOC_Os06g06030,LOC_Os06g06030.1,-0.12
LOC_Os11g24070,LOC_Os11g24070.1,0.34
LOC_Os03g55070,LOC_Os03g55070.1,-0.44
LOC_Os01g18050,LOC_Os01g18050.1,-0.4
LOC_Os08g41300,LOC_Os08g41300.1,0.38
LOC_Os02g40880,LOC_Os02g40880.1,-0.34
LOC_Os01g02880,LOC_Os01g02880.1,-0.49
LOC_Os03g19290,LOC_Os03g19290.1,-0.74
LOC_Os06g41990,LOC_Os06g41990.1,-0.29
LOC_Os08g09940,LOC_Os08g09940.1,-0.26
LOC_Os07g10830,LOC_Os07g10830.1,-0.64
LOC_Os03g04970,LOC_Os03g04970.1,-0.07
LOC_Os08g23710,LOC_Os08g23710.1,-0.37
LOC_Os01g22010,LOC_Os01g22010.1,-0.31
LOC_Os09g35970,LOC_Os09g35970.1,-0.34
LOC_Os04g35090,LOC_Os04g35090.1,-0.35
LOC_Os07g11410,LOC_Os07g11410.1,-0.28
LOC_Os05g05840,LOC_Os05g05840.1,-0.26
LOC_Os08g36150,LOC_Os08g36150.1,0.15
LOC_Os03g18590,LOC_Os03g18590.1,-0.13
LOC_Os10g31950,LOC_Os10g31950.1,-0.33
LOC_Os03g62620,LOC_Os03g62620.2,0.16
LOC_Os06g23440,LOC_Os06g23440.1,-0.33
LOC_Os04g39270,LOC_Os04g39270.1,-0.33
LOC_Os10g35870,LOC_Os10g35870.1,-0.52
LOC_Os10g28120,LOC_Os10g28120.1,0.42
LOC_Os11g29190,LOC_Os11g29190.1,0.44
LOC_Os03g14180,LOC_Os03g14180.1,0.34
LOC_Os03g13730,LOC_Os03g13730.1,-0.26
LOC_Os08g44860,LOC_Os08g44860.2,-0.24
LOC_Os12g36640,LOC_Os12g36640.1,-0.26
LOC_Os03g21490,LOC_Os03g21490.1,-0.52
LOC_Os07g30970,LOC_Os07g30970.1,-0.61
LOC_Os08g09230,LOC_Os08g09230.1,-0.49
LOC_Os01g51754,LOC_Os01g51754.1,-0.4
LOC_Os08g03290,LOC_Os08g03290.1,0.14
LOC_Os02g47850,LOC_Os02g47850.2,-0.25
LOC_Os01g37837,LOC_Os01g37837.1,-0.22
LOC_Os04g40950,LOC_Os04g40950.1,-0.36
LOC_Os01g04370,LOC_Os01g04370.1,-0.38
LOC_Os03g51600,LOC_Os03g51600.1,-0.18
LOC_Os04g33150,LOC_Os04g33150.1,-0.32
LOC_Os02g15169,LOC_Os02g15169.1,-0.48
LOC_Os01g71474,LOC_Os01g71474.1,-0.22
LOC_Os02g48720,LOC_Os02g48720.1,-0.32
LOC_Os09g32290,LOC_Os09g32290.2,-0.37
LOC_Os03g08280,LOC_Os03g08280.1,-0.37
LOC_Os01g23610,LOC_Os01g23610.1,-0.31
LOC_Os06g29180,LOC_Os06g29180.1,-0.26
LOC_Os11g40530,LOC_Os11g40530.1,0.33
LOC_Os12g43630,LOC_Os12g43630.1,-0.39
LOC_Os05g50380,LOC_Os05g50380.1,-0.26
LOC_Os08g40930,LOC_Os08g40930.1,-0.25
LOC_Os01g46070,LOC_Os01g46070.1,-0.42
LOC_Os03g63410,LOC_Os03g63410.1,-0.18
LOC_Os08g14230,LOC_Os08g14230.1,-0.27
LOC_Os10g41410,LOC_Os10g41410.2,-0.38
LOC_Os03g50885,LOC_Os03g50885.1,-0.26
LOC_Os01g15010,LOC_Os01g15010.1,0.34
LOC_Os02g07060,LOC_Os02g07060.1,-0.17
LOC_Os11g47520,LOC_Os11g47520.1,-0.35
LOC_Os03g46490,LOC_Os03g46490.1,-0.22
LOC_Os01g46750,LOC_Os01g46750.1,-0.22
LOC_Os11g09280,LOC_Os11g09280.1,-0.28
LOC_Os03g44420,LOC_Os03g44420.1,-0.29
LOC_Os01g55540,LOC_Os01g55540.1,-0.21
LOC_Os05g46480,LOC_Os05g46480.1,-0.36
LOC_Os03g40440,LOC_Os03g40440.1,-0.18
LOC_Os12g38110,LOC_Os12g38110.1,-0.18
LOC_Os07g11510,LOC_Os07g11510.1,-0.21
LOC_Os04g40660,LOC_Os04g40660.1,-0.14
LOC_Os02g39570,LOC_Os02g39570.1,-0.23
LOC_Os03g15950,LOC_Os03g15950.1,-0.18
LOC_Os12g36194,LOC_Os12g36194.1,0.41
LOC_Os05g46230,LOC_Os05g46230.1,-0.13
LOC_Os10g17280,LOC_Os10g17280.1,-0.29
LOC_Os05g27940,LOC_Os05g27940.1,0.5
LOC_Os02g12650,LOC_Os02g12650.1,-0.32
LOC_Os11g01380,LOC_Os11g01380.1,-0.44
LOC_Os08g02340,LOC_Os08g02340.1,0.22
LOC_Os05g28510,LOC_Os05g28510.1,-0.26
LOC_Os06g09630,LOC_Os06g09630.1,-0.37
LOC_Os03g15960,LOC_Os03g15960.1,0.23
LOC_Os05g49440,LOC_Os05g49440.2,-0.33
LOC_Os03g64210,LOC_Os03g64210.1,-0.2
LOC_Os07g12080,LOC_Os07g12080.1,-0.17
LOC_Os01g49290,LOC_Os01g49290.1,-0.09
LOC_Os07g08330,LOC_Os07g08330.1,0.25
LOC_Os08g02120,LOC_Os08g02120.1,0.13
LOC_Os04g38870,LOC_Os04g38870.1,-0.57
LOC_Os05g23860,LOC_Os05g23860.1,-0.21
LOC_Os03g05730,LOC_Os03g05730.1,-0.17
LOC_Os04g40990,LOC_Os04g40990.1,0.13
LOC_Os04g35900,LOC_Os04g35900.1,-0.28
LOC_Os09g29070,LOC_Os09g29070.1,-0.34
LOC_Os02g07260,LOC_Os02g07260.1,-0.11
LOC_Os05g25310,LOC_Os05g25310.1,-0.13
LOC_Os04g43200,LOC_Os04g43200.1,0.41
