locus,protein,t_test,emb_protein_log2fc
LOC_Os07g41820,LOC_Os07g41820.1,0.49,0.32
LOC_Os06g41810,LOC_Os06g41810.1,0.49,-0.43
LOC_Os12g02320,LOC_Os12g02320.1,0.49,-0.29
LOC_Os03g40010,LOC_Os03g40010.1,0.49,-0.4
LOC_Os06g11800,LOC_Os06g11800.1,0.49,-0.38
LOC_Os01g73990,LOC_Os01g73990.1,0.49,0.52
LOC_Os09g26880,LOC_Os09g26880.1,0.49,-0.15
LOC_Os02g03860,LOC_Os02g03860.1,0.49,0.32
LOC_Os05g36290,LOC_Os05g36290.1,0.5,-0.33
LOC_Os03g53690,LOC_Os03g53690.1,0.5,-0.45
LOC_Os05g34770,LOC_Os05g34770.1,0.5,0.39
LOC_Os05g38810,LOC_Os05g38810.1,0.5,0.41
LOC_Os01g05490,LOC_Os01g05490.1,0.5,0.41
LOC_Os05g06310,LOC_Os05g06310.1,0.5,0.27
LOC_Os04g36700,LOC_Os04g36700.1,0.5,0.23
LOC_Os02g19860,LOC_Os02g19860.1,0.5,0.23
LOC_Os06g51270,LOC_Os06g51270.1,0.5,0.9
LOC_Os03g14530,LOC_Os03g14530.1,0.5,-0.43
LOC_Os06g04800,LOC_Os06g04800.1,0.5,0.28
LOC_Os07g38130,LOC_Os07g38130.1,0.5,0.19
LOC_Os07g42300,LOC_Os07g42300.1,0.5,0.41
LOC_Os05g07680,LOC_Os05g07680.1,0.5,-0.37
LOC_Os05g45930,LOC_Os05g45930.1,0.5,0.38
LOC_Os06g20090,LOC_Os06g20090.1,0.5,0.19
LOC_Os03g13730,LOC_Os03g13730.1,0.51,-0.47
LOC_Os10g10500,LOC_Os10g10500.1,0.51,0.42
LOC_Os04g32560,LOC_Os04g32560.1,0.51,0.35
LOC_Os09g29200,LOC_Os09g29200.1,0.51,-0.32
LOC_Os12g24080,LOC_Os12g24080.1,0.51,-0.45
LOC_Os01g27880,LOC_Os01g27880.1,0.51,-0.47
LOC_Os05g49150,LOC_Os05g49150.1,0.51,-0.23
LOC_Os11g10480,LOC_Os11g10480.4,0.51,0.43
LOC_Os11g24070,LOC_Os11g24070.1,0.51,-0.27
LOC_Os06g02144,LOC_Os06g02144.1,0.51,0.15
LOC_Os03g23950,LOC_Os03g23950.1,0.51,0.37
LOC_Os03g04410,LOC_Os03g04410.1,0.51,-0.28
LOC_Os05g05930,LOC_Os05g05930.1,0.51,-0.33
LOC_Os05g41640,LOC_Os05g41640.1,0.51,0.34
LOC_Os02g33490,LOC_Os02g33490.1,0.51,0.28
LOC_Os12g18120,LOC_Os12g18120.1,0.51,0.18
LOC_Os08g21660,LOC_Os08g21660.1,0.51,-0.11
LOC_Os06g48640,LOC_Os06g48640.1,0.51,0.31
LOC_Os01g70320,LOC_Os01g70320.1,0.51,0.32
LOC_Os07g33110,LOC_Os07g33110.1,0.51,-0.21
LOC_Os02g48720,LOC_Os02g48720.1,0.52,0.4
LOC_Os04g51610,LOC_Os04g51610.1,0.52,-0.44
LOC_Os08g44860,LOC_Os08g44860.2,0.52,-0.3
LOC_Os02g01500,LOC_Os02g01500.1,0.52,0.32
LOC_Os04g43170,LOC_Os04g43170.1,0.52,-0.25
