locus,protein,t_test,emb_protein_log2fc
LOC_Os03g14980,LOC_Os03g14980.1,0.19,-0.61
LOC_Os01g56490,LOC_Os01g56490.1,0.19,-0.64
LOC_Os11g07470,LOC_Os11g07470.1,0.19,0.66
LOC_Os01g03760,LOC_Os01g03760.1,0.19,0.83
LOC_Os11g11390,LOC_Os11g11390.1,0.19,0.74
LOC_Os07g32460,LOC_Os07g32460.1,0.19,0.86
LOC_Os02g12794,LOC_Os02g12794.3,0.19,0.35
LOC_Os08g27070,LOC_Os08g27070.1,0.19,0.73
LOC_Os03g58040,LOC_Os03g58040.1,0.19,0.42
LOC_Os02g15090,LOC_Os02g15090.1,0.2,0.93
LOC_Os05g11780,LOC_Os05g11780.1,0.2,0.89
LOC_Os02g43830,LOC_Os02g43830.1,0.2,0.95
LOC_Os07g34030,LOC_Os07g34030.1,0.2,0.7
LOC_Os03g16860,LOC_Os03g16860.1,0.2,0.87
LOC_Os07g26690,LOC_Os07g26690.1,0.2,0.86
LOC_Os01g46380,LOC_Os01g46380.1,0.2,0.34
LOC_Os07g39750,LOC_Os07g39750.1,0.2,0.42
LOC_Os01g70020,LOC_Os01g70020.1,0.2,0.42
LOC_Os03g62370,LOC_Os03g62370.1,0.2,-0.65
LOC_Os01g11880,LOC_Os01g11880.1,0.2,-0.44
LOC_Os04g52450,LOC_Os04g52450.1,0.2,0.46
LOC_Os02g01740,LOC_Os02g01740.1,0.2,0.88
LOC_Os02g08380,LOC_Os02g08380.1,0.2,1.08
LOC_Os07g43390,LOC_Os07g43390.1,0.2,-0.83
LOC_Os02g56850,LOC_Os02g56850.1,0.2,-0.6
LOC_Os03g04970,LOC_Os03g04970.1,0.2,-0.47
LOC_Os01g40420,LOC_Os01g40420.1,0.2,-0.9
LOC_Os04g40874,LOC_Os04g40874.1,0.2,-0.2
LOC_Os02g57260,LOC_Os02g57260.1,0.2,0.97
LOC_Os06g21600,LOC_Os06g21600.1,0.21,-0.28
LOC_Os07g38730,LOC_Os07g38730.1,0.21,0.24
LOC_Os02g09420,LOC_Os02g09420.1,0.21,-0.76
LOC_Os02g44810,LOC_Os02g44810.1,0.21,1.14
LOC_Os05g41110,LOC_Os05g41110.1,0.21,-0.66
LOC_Os08g23710,LOC_Os08g23710.1,0.21,0.74
LOC_Os02g47850,LOC_Os02g47850.2,0.21,0.53
LOC_Os01g40470,LOC_Os01g40470.1,0.21,1.02
LOC_Os05g33390,LOC_Os05g33390.1,0.21,0.98
LOC_Os07g42170,LOC_Os07g42170.1,0.21,0.68
LOC_Os03g31360,LOC_Os03g31360.1,0.21,1.06
LOC_Os01g43520,LOC_Os01g43520.1,0.21,-0.93
LOC_Os10g27174,LOC_Os10g27174.1,0.21,-0.68
LOC_Os02g38200,LOC_Os02g38200.1,0.21,-0.58
LOC_Os09g15770,LOC_Os09g15770.1,0.21,-0.58
LOC_Os03g16920,LOC_Os03g16920.1,0.21,-0.45
LOC_Os01g43540,LOC_Os01g43540.1,0.21,0.84
LOC_Os12g35570,LOC_Os12g35570.1,0.21,-0.87
LOC_Os02g48010,LOC_Os02g48010.1,0.21,-0.48
LOC_Os01g03950,LOC_Os01g03950.1,0.21,0.91
LOC_Os11g46240,LOC_Os11g46240.1,0.21,-0.59
LOC_Os01g68790,LOC_Os01g68790.2,0.22,-0.51
LOC_Os02g09220,LOC_Os02g09220.1,0.22,2.53
LOC_Os01g04370,LOC_Os01g04370.1,0.22,-0.49
LOC_Os05g01270,LOC_Os05g01270.1,0.22,-0.31
LOC_Os08g02410,LOC_Os08g02410.1,0.22,0.37
LOC_Os06g14510,LOC_Os06g14510.1,0.22,-0.42
LOC_Os08g27840,LOC_Os08g27840.1,0.22,-0.66
LOC_Os03g19890,LOC_Os03g19890.1,0.22,0.2
LOC_Os09g08670,LOC_Os09g08670.1,0.22,0.54
LOC_Os04g28090,LOC_Os04g28090.1,0.22,0.72
LOC_Os08g04630,LOC_Os08g04630.1,0.22,0.57
LOC_Os08g17160,LOC_Os08g17160.1,0.22,0.47
LOC_Os06g45120,LOC_Os06g45120.1,0.22,0.32
LOC_Os02g39050,LOC_Os02g39050.1,0.22,0.56
LOC_Os10g34180,LOC_Os10g34180.1,0.22,0.38
LOC_Os07g43020,LOC_Os07g43020.1,0.22,-0.46
LOC_Os06g34690,LOC_Os06g34690.1,0.22,-0.31
LOC_Os01g68770,LOC_Os01g68770.1,0.22,0.81
LOC_Os07g11330,LOC_Os07g11330.1,0.22,0.66
LOC_Os04g52850,LOC_Os04g52850.1,0.22,-0.3
LOC_Os01g64650,LOC_Os01g64650.1,0.22,0.74
LOC_Os02g14600,LOC_Os02g14600.1,0.23,0.95
LOC_Os08g30060,LOC_Os08g30060.1,0.23,-0.92
LOC_Os02g14110,LOC_Os02g14110.1,0.23,0.39
LOC_Os01g40340,LOC_Os01g40340.1,0.23,0.52
LOC_Os10g35960,LOC_Os10g35960.1,0.23,-0.54
LOC_Os03g11530,LOC_Os03g11530.1,0.23,-0.66
LOC_Os08g15030,LOC_Os08g15030.1,0.23,0.66
LOC_Os07g49400,LOC_Os07g49400.1,0.23,3.35
LOC_Os05g37830,LOC_Os05g37830.1,0.23,0.34
LOC_Os04g53310,LOC_Os04g53310.1,0.23,0.66
LOC_Os11g29200,LOC_Os11g29200.1,0.23,-0.54
LOC_Os07g08960,LOC_Os07g08960.1,0.23,-0.78
LOC_Os04g31190,LOC_Os04g31190.1,0.23,0.41
LOC_Os02g43020,LOC_Os02g43020.1,0.23,0.41
LOC_Os05g01970,LOC_Os05g01970.1,0.23,0.88
LOC_Os04g52960,LOC_Os04g52960.1,0.23,0.69
LOC_Os04g34450,LOC_Os04g34450.1,0.23,0.58
LOC_Os11g16410,LOC_Os11g16410.1,0.23,0.67
LOC_Os08g09200,LOC_Os08g09200.1,0.23,-0.51
LOC_Os01g55540,LOC_Os01g55540.1,0.24,0.37
LOC_Os07g08660,LOC_Os07g08660.1,0.24,0.66
LOC_Os07g42600,LOC_Os07g42600.1,0.24,0.32
LOC_Os06g37160,LOC_Os06g37160.1,0.24,1.05
LOC_Os04g45040,LOC_Os04g45040.1,0.24,-0.44
LOC_Os07g11380,LOC_Os07g11380.1,0.24,0.71
LOC_Os08g02420,LOC_Os08g02420.1,0.24,1.38
LOC_Os04g34930,LOC_Os04g34930.1,0.24,0.3
LOC_Os11g37890,LOC_Os11g37890.1,0.24,-0.42
LOC_Os11g17610,LOC_Os11g17610.1,0.24,-0.46
LOC_Os04g35090,LOC_Os04g35090.1,0.24,-0.38
LOC_Os07g32620,LOC_Os07g32620.1,0.24,-3.44
LOC_Os02g41590,LOC_Os02g41590.1,0.24,-0.36
LOC_Os07g06710,LOC_Os07g06710.1,0.24,0.6
LOC_Os04g02754,LOC_Os04g02754.1,0.24,-0.33
LOC_Os05g02650,LOC_Os05g02650.1,0.24,-0.41
LOC_Os04g28180,LOC_Os04g28180.1,0.24,1.37
LOC_Os08g25390,LOC_Os08g25390.1,0.24,-0.86
LOC_Os01g13160,LOC_Os01g13160.1,0.24,0.56
LOC_Os03g19960,LOC_Os03g19960.1,0.24,-0.41
LOC_Os02g02400,LOC_Os02g02400.1,0.25,-0.23
LOC_Os03g53800,LOC_Os03g53800.1,0.25,0.91
LOC_Os05g05470,LOC_Os05g05470.1,0.25,-0.69
LOC_Os04g43360,LOC_Os04g43360.1,0.25,-0.44
LOC_Os12g38310,LOC_Os12g38310.1,0.25,-0.36
LOC_Os06g10660,LOC_Os06g10660.1,0.25,-0.55
LOC_Os01g40570,LOC_Os01g40570.1,0.25,0.66
LOC_Os04g37470,LOC_Os04g37470.1,0.25,-0.6
LOC_Os11g40140,LOC_Os11g40140.1,0.25,0.54
LOC_Os02g40830,LOC_Os02g40830.1,0.25,0.53
LOC_Os01g52830,LOC_Os01g52830.1,0.25,-0.65
LOC_Os06g01490,LOC_Os06g01490.1,0.25,0.44
LOC_Os12g13380,LOC_Os12g13380.1,0.25,0.57
LOC_Os05g06330,LOC_Os05g06330.1,0.25,0.74
LOC_Os06g43760,LOC_Os06g43760.1,0.25,0.42
LOC_Os08g33340,LOC_Os08g33340.1,0.25,0.87
LOC_Os01g65560,LOC_Os01g65560.1,0.25,0.38
LOC_Os01g56600,LOC_Os01g56600.1,0.25,0.23
LOC_Os10g41960,LOC_Os10g41960.1,0.25,0.45
LOC_Os10g41030,LOC_Os10g41030.1,0.26,0.96
LOC_Os02g49980,LOC_Os02g49980.1,0.26,0.29
LOC_Os01g63210,LOC_Os01g63210.1,0.26,-0.83
LOC_Os05g45050,LOC_Os05g45050.1,0.26,0.27
LOC_Os10g33630,LOC_Os10g33630.1,0.26,0.99
LOC_Os09g30240,LOC_Os09g30240.1,0.26,-0.54
LOC_Os05g37970,LOC_Os05g37970.3,0.26,-0.51
LOC_Os01g46610,LOC_Os01g46610.1,0.26,0.92
LOC_Os12g07220,LOC_Os12g07220.1,0.26,0.69
LOC_Os05g18604,LOC_Os05g18604.1,0.26,0.37
LOC_Os01g53900,LOC_Os01g53900.1,0.26,-0.57
LOC_Os08g33370,LOC_Os08g33370.1,0.26,0.83
LOC_Os06g50930,LOC_Os06g50930.1,0.26,0.78
LOC_Os02g50240,LOC_Os02g50240.1,0.26,0.56
LOC_Os02g51750,LOC_Os02g51750.1,0.26,-0.45
LOC_Os11g01154,LOC_Os11g01154.1,0.26,-0.61
LOC_Os02g04260,LOC_Os02g04260.1,0.26,-0.66
LOC_Os02g28810,LOC_Os02g28810.1,0.27,1.2
LOC_Os03g19390,LOC_Os03g19390.1,0.27,-1.29
LOC_Os01g42820,LOC_Os01g42820.1,0.27,0.27
LOC_Os02g37420,LOC_Os02g37420.1,0.27,0.59
LOC_Os03g10110,LOC_Os03g10110.1,0.27,-0.38
LOC_Os10g32820,LOC_Os10g32820.1,0.27,-1.5
LOC_Os06g05900,LOC_Os06g05900.1,0.27,0.58
LOC_Os04g42920,LOC_Os04g42920.1,0.27,0.38
LOC_Os04g16740,LOC_Os04g16740.1,0.27,-0.63
LOC_Os10g26700,LOC_Os10g26700.1,0.27,2.31
LOC_Os04g58900,LOC_Os04g58900.1,0.27,0.65
LOC_Os10g32680,LOC_Os10g32680.1,0.27,-0.45
LOC_Os06g31210,LOC_Os06g31210.1,0.28,0.9
LOC_Os04g44830,LOC_Os04g44830.1,0.28,0.19
LOC_Os07g09400,LOC_Os07g09400.1,0.28,-0.83
LOC_Os03g52840,LOC_Os03g52840.1,0.28,-0.57
LOC_Os09g37610,LOC_Os09g37610.1,0.28,0.66
LOC_Os02g14059,LOC_Os02g14059.1,0.28,-0.2
LOC_Os09g37860,LOC_Os09g37860.1,0.28,-0.67
LOC_Os02g52860,LOC_Os02g52860.1,0.28,0.46
LOC_Os11g04480,LOC_Os11g04480.1,0.28,-0.5
LOC_Os02g07910,LOC_Os02g07910.1,0.28,-0.34
LOC_Os05g50380,LOC_Os05g50380.1,0.28,-0.45
LOC_Os05g04850,LOC_Os05g04850.1,0.28,0.6
LOC_Os12g37870,LOC_Os12g37870.1,0.28,0.22
LOC_Os04g44870,LOC_Os04g44870.1,0.28,0.91
LOC_Os04g45970,LOC_Os04g45970.1,0.28,-0.33
LOC_Os05g04520,LOC_Os05g04520.1,0.28,0.68
LOC_Os07g11410,LOC_Os07g11410.1,0.28,0.91
LOC_Os07g38300,LOC_Os07g38300.1,0.29,-0.9
LOC_Os04g47220,LOC_Os04g47220.1,0.29,0.88
LOC_Os02g11830,LOC_Os02g11830.2,0.29,0.77
LOC_Os10g32880,LOC_Os10g32880.1,0.29,-0.23
LOC_Os05g07030,LOC_Os05g07030.2,0.29,-0.44
LOC_Os06g43570,LOC_Os06g43570.1,0.29,0.46
LOC_Os05g06980,LOC_Os05g06980.1,0.29,-0.72
LOC_Os11g34350,LOC_Os11g34350.1,0.29,-0.29
LOC_Os04g40950,LOC_Os04g40950.1,0.29,0.2
LOC_Os04g47870,LOC_Os04g47870.1,0.29,0.64
LOC_Os03g51000,LOC_Os03g51000.1,0.29,-0.28
LOC_Os04g20220,LOC_Os04g20220.1,0.29,0.64
LOC_Os05g41172,LOC_Os05g41172.1,0.29,-0.19
LOC_Os12g21890,LOC_Os12g21890.1,0.29,-0.53
LOC_Os08g25140,LOC_Os08g25140.1,0.29,1.51
LOC_Os03g12230,LOC_Os03g12230.1,0.29,0.62
LOC_Os04g26910,LOC_Os04g26910.1,0.29,-0.53
LOC_Os04g39020,LOC_Os04g39020.1,0.3,-0.54
LOC_Os05g44922,LOC_Os05g44922.1,0.3,0.45
LOC_Os07g07250,LOC_Os07g07250.1,0.3,0.59
LOC_Os03g08450,LOC_Os03g08450.1,0.3,0.46
LOC_Os01g22520,LOC_Os01g22520.1,0.3,-0.32
LOC_Os03g02540,LOC_Os03g02540.1,0.3,0.53
LOC_Os05g06750,LOC_Os05g06750.1,0.3,-0.17
LOC_Os02g37862,LOC_Os02g37862.1,0.3,0.52
LOC_Os03g60780,LOC_Os03g60780.1,0.3,-0.35
LOC_Os08g43360,LOC_Os08g43360.1,0.3,0.61
LOC_Os05g13950,LOC_Os05g13950.1,0.3,0.29
LOC_Os07g36470,LOC_Os07g36470.1,0.3,0.48
LOC_Os03g52690,LOC_Os03g52690.8,0.3,0.46
LOC_Os07g07450,LOC_Os07g07450.1,0.3,-1.02
LOC_Os02g13140,LOC_Os02g13140.1,0.3,-0.43
LOC_Os02g30630,LOC_Os02g30630.1,0.3,-0.45
LOC_Os02g57040,LOC_Os02g57040.1,0.31,-0.53
LOC_Os03g29260,LOC_Os03g29260.2,0.31,0.45
LOC_Os05g30530,LOC_Os05g30530.1,0.31,0.41
LOC_Os12g16890,LOC_Os12g16890.1,0.31,0.55
LOC_Os12g42876,LOC_Os12g42876.1,0.31,-0.36
LOC_Os06g48030,LOC_Os06g48030.1,0.31,0.86
LOC_Os03g18454,LOC_Os03g18454.1,0.31,0.82
LOC_Os05g25850,LOC_Os05g25850.1,0.31,0.51
LOC_Os08g36630,LOC_Os08g36630.1,0.31,0.78
LOC_Os10g42540,LOC_Os10g42540.1,0.31,-0.42
LOC_Os03g49600,LOC_Os03g49600.1,0.31,-0.53
LOC_Os01g52390,LOC_Os01g52390.1,0.31,0.42
LOC_Os07g31370,LOC_Os07g31370.1,0.31,0.51
LOC_Os08g02130,LOC_Os08g02130.1,0.31,-0.36
LOC_Os08g18110,LOC_Os08g18110.1,0.31,-0.5
LOC_Os06g45830,LOC_Os06g45830.1,0.31,0.45
LOC_Os01g03340,LOC_Os01g03340.1,0.31,0.59
LOC_Os01g06630,LOC_Os01g06630.1,0.31,-0.93
LOC_Os06g34790,LOC_Os06g34790.1,0.31,0.48
LOC_Os02g25640,LOC_Os02g25640.1,0.31,0.73
LOC_Os01g50310,LOC_Os01g50310.1,0.31,0.45
LOC_Os03g50540,LOC_Os03g50540.1,0.32,-0.39
LOC_Os02g39870,LOC_Os02g39870.1,0.32,0.42
LOC_Os07g36190,LOC_Os07g36190.1,0.32,0.51
LOC_Os08g36994,LOC_Os08g36994.1,0.32,-0.47
LOC_Os06g44890,LOC_Os06g44890.1,0.32,0.77
LOC_Os09g08430,LOC_Os09g08430.1,0.32,0.33
LOC_Os03g03810,LOC_Os03g03810.1,0.32,-0.6
LOC_Os02g24020,LOC_Os02g24020.1,0.32,-0.29
LOC_Os09g04670,LOC_Os09g04670.1,0.32,0.33
LOC_Os05g37330,LOC_Os05g37330.1,0.32,0.39
LOC_Os02g35590,LOC_Os02g35590.1,0.32,-0.59
LOC_Os03g20630,LOC_Os03g20630.2,0.32,-0.6
LOC_Os11g10480,LOC_Os11g10480.1,0.32,0.46
LOC_Os01g67054,LOC_Os01g67054.1,0.32,0.5
LOC_Os03g13380,LOC_Os03g13380.1,0.32,1.65
LOC_Os03g12140,LOC_Os03g12140.1,0.32,-0.3
LOC_Os07g47290,LOC_Os07g47290.1,0.32,-0.54
LOC_Os01g55830,LOC_Os01g55830.1,0.32,0.58
LOC_Os03g28990,LOC_Os03g28990.1,0.32,-0.24
LOC_Os03g22880,LOC_Os03g22880.1,0.32,-0.5
LOC_Os11g29370,LOC_Os11g29370.1,0.32,-0.18
LOC_Os09g33800,LOC_Os09g33800.1,0.32,-0.86
LOC_Os03g64400,LOC_Os03g64400.1,0.32,0.3
LOC_Os01g56510,LOC_Os01g56510.1,0.32,-0.26
LOC_Os03g60370,LOC_Os03g60370.1,0.33,0.35
LOC_Os02g01450,LOC_Os02g01450.1,0.33,0.54
LOC_Os05g34540,LOC_Os05g34540.1,0.33,-0.54
LOC_Os12g43140,LOC_Os12g43140.1,0.33,-0.46
LOC_Os04g52460,LOC_Os04g52460.1,0.33,1.27
LOC_Os11g38900,LOC_Os11g38900.1,0.33,-0.43
LOC_Os04g45070,LOC_Os04g45070.1,0.33,0.94
LOC_Os05g50110,LOC_Os05g50110.1,0.33,-0.33
LOC_Os05g32630,LOC_Os05g32630.1,0.33,0.69
LOC_Os02g21460,LOC_Os02g21460.1,0.33,-0.3
LOC_Os08g03690,LOC_Os08g03690.1,0.33,-0.4
LOC_Os01g05610,LOC_Os01g05610.1,0.33,0.47
LOC_Os03g11440,LOC_Os03g11440.1,0.33,0.33
LOC_Os02g18850,LOC_Os02g18850.1,0.33,-0.47
LOC_Os01g50700,LOC_Os01g50700.1,0.33,-0.4
LOC_Os12g44150,LOC_Os12g44150.1,0.33,0.77
LOC_Os08g44530,LOC_Os08g44530.1,0.34,-0.19
LOC_Os03g17010,LOC_Os03g17010.1,0.34,-0.58
LOC_Os03g54890,LOC_Os03g54890.1,0.34,0.42
LOC_Os01g06270,LOC_Os01g06270.1,0.34,-0.65
LOC_Os02g05830,LOC_Os02g05830.1,0.34,0.18
LOC_Os09g34300,LOC_Os09g34300.1,0.34,-0.44
LOC_Os06g47320,LOC_Os06g47320.1,0.34,-0.23
LOC_Os11g26850,LOC_Os11g26850.2,0.34,0.22
LOC_Os09g29070,LOC_Os09g29070.1,0.34,0.44
LOC_Os07g47630,LOC_Os07g47630.1,0.34,0.42
LOC_Os08g10480,LOC_Os08g10480.1,0.34,-0.3
LOC_Os01g21180,LOC_Os01g21180.1,0.34,0.49
LOC_Os11g26860,LOC_Os11g26860.1,0.34,0.26
LOC_Os08g34130,LOC_Os08g34130.1,0.34,0.56
LOC_Os06g30370,LOC_Os06g30370.1,0.34,-0.75
LOC_Os11g06760,LOC_Os11g06760.1,0.34,-0.25
LOC_Os06g31070,LOC_Os06g31070.1,0.34,0.87
LOC_Os03g42900,LOC_Os03g42900.1,0.34,0.39
LOC_Os08g09250,LOC_Os08g09250.2,0.34,-0.4
LOC_Os01g43410,LOC_Os01g43410.1,0.34,-0.45
LOC_Os11g47760,LOC_Os11g47760.1,0.34,0.44
LOC_Os03g14260,LOC_Os03g14260.1,0.34,0.52
LOC_Os12g20150,LOC_Os12g20150.1,0.35,-0.43
LOC_Os06g48300,LOC_Os06g48300.1,0.35,-0.59
LOC_Os01g73220,LOC_Os01g73220.1,0.35,-0.29
LOC_Os05g32140,LOC_Os05g32140.1,0.35,-0.43
LOC_Os08g22864,LOC_Os08g22864.1,0.35,0.9
LOC_Os04g56180,LOC_Os04g56180.1,0.35,0.58
LOC_Os02g55420,LOC_Os02g55420.1,0.35,0.35
LOC_Os04g30780,LOC_Os04g30780.1,0.35,-0.17
LOC_Os02g46520,LOC_Os02g46520.1,0.35,0.23
LOC_Os08g34760,LOC_Os08g34760.1,0.35,0.26
LOC_Os09g29840,LOC_Os09g29840.1,0.35,-0.43
LOC_Os04g42140,LOC_Os04g42140.1,0.35,0.55
LOC_Os04g35570,LOC_Os04g35570.1,0.35,0.52
LOC_Os09g30010,LOC_Os09g30010.1,0.35,-0.58
LOC_Os02g50799,LOC_Os02g50799.1,0.35,-0.51
LOC_Os06g27910,LOC_Os06g27910.1,0.35,0.43
LOC_Os11g26570,LOC_Os11g26570.1,0.35,-0.66
LOC_Os01g32800,LOC_Os01g32800.1,0.35,0.19
LOC_Os11g02350,LOC_Os11g02350.1,0.35,-0.27
LOC_Os04g43200,LOC_Os04g43200.1,0.35,-0.61
LOC_Os02g48110,LOC_Os02g48110.1,0.35,-0.31
LOC_Os03g08280,LOC_Os03g08280.1,0.35,0.42
LOC_Os08g42410,LOC_Os08g42410.1,0.35,0.04
LOC_Os01g44220,LOC_Os01g44220.1,0.35,-0.84
LOC_Os11g05050,LOC_Os11g05050.1,0.35,0.4
LOC_Os07g09680,LOC_Os07g09680.1,0.35,0.84
LOC_Os04g54330,LOC_Os04g54330.1,0.36,0.57
LOC_Os08g23180,LOC_Os08g23180.1,0.36,-0.31
LOC_Os10g41820,LOC_Os10g41820.1,0.36,-0.41
LOC_Os08g13690,LOC_Os08g13690.1,0.36,0.49
LOC_Os02g03890,LOC_Os02g03890.1,0.36,-0.25
LOC_Os08g43580,LOC_Os08g43580.1,0.36,0.4
LOC_Os03g51950,LOC_Os03g51950.1,0.36,-0.39
LOC_Os01g16190,LOC_Os01g16190.1,0.36,-0.41
LOC_Os02g32350,LOC_Os02g32350.1,0.36,0.32
LOC_Os01g69130,LOC_Os01g69130.1,0.36,-0.37
LOC_Os04g58620,LOC_Os04g58620.1,0.36,-0.41
LOC_Os04g31700,LOC_Os04g31700.1,0.36,0.29
LOC_Os01g23590,LOC_Os01g23590.1,0.36,0.64
LOC_Os02g10640,LOC_Os02g10640.1,0.36,-0.49
LOC_Os02g57070,LOC_Os02g57070.1,0.36,0.59
LOC_Os05g41970,LOC_Os05g41970.1,0.36,0.74
LOC_Os03g62620,LOC_Os03g62620.2,0.36,0.28
LOC_Os01g48280,LOC_Os01g48280.1,0.36,0.39
LOC_Os02g02530,LOC_Os02g02530.1,0.36,1.63
LOC_Os08g34210,LOC_Os08g34210.1,0.37,-0.32
LOC_Os02g32490,LOC_Os02g32490.1,0.37,0.72
LOC_Os12g43370,LOC_Os12g43370.1,0.37,-0.36
LOC_Os04g54410,LOC_Os04g54410.1,0.37,1.08
LOC_Os03g29770,LOC_Os03g29770.1,0.37,-0.45
LOC_Os02g18660,LOC_Os02g18660.1,0.37,0.46
LOC_Os04g02900,LOC_Os04g02900.1,0.37,0.45
LOC_Os03g19530,LOC_Os03g19530.1,0.37,-0.6
LOC_Os03g58430,LOC_Os03g58430.1,0.37,0.15
LOC_Os12g21798,LOC_Os12g21798.1,0.37,0.63
LOC_Os01g44230,LOC_Os01g44230.1,0.37,-0.5
LOC_Os09g36090,LOC_Os09g36090.1,0.37,-0.49
LOC_Os05g08990,LOC_Os05g08990.1,0.37,0.65
LOC_Os11g07040,LOC_Os11g07040.1,0.37,0.55
LOC_Os01g73140,LOC_Os01g73140.1,0.37,-0.52
LOC_Os10g17280,LOC_Os10g17280.1,0.37,-0.56
LOC_Os01g16970,LOC_Os01g16970.1,0.37,0.4
LOC_Os07g14270,LOC_Os07g14270.3,0.37,0.33
LOC_Os03g19280,LOC_Os03g19280.1,0.37,0.64
LOC_Os03g38980,LOC_Os03g38980.1,0.37,0.52
LOC_Os02g27470,LOC_Os02g27470.1,0.38,0.57
LOC_Os02g48620,LOC_Os02g48620.1,0.38,0.27
LOC_Os07g08340,LOC_Os07g08340.1,0.38,0.26
LOC_Os03g21550,LOC_Os03g21550.1,0.38,0.32
LOC_Os04g32080,LOC_Os04g32080.1,0.38,-0.21
LOC_Os09g07460,LOC_Os09g07460.1,0.38,-0.42
LOC_Os03g19410,LOC_Os03g19410.1,0.38,0.76
LOC_Os02g17390,LOC_Os02g17390.1,0.38,0.34
LOC_Os06g04380,LOC_Os06g04380.1,0.38,-0.36
LOC_Os03g50480,LOC_Os03g50480.1,0.38,-0.27
LOC_Os11g07280,LOC_Os11g07280.1,0.38,0.39
LOC_Os12g44020,LOC_Os12g44020.1,0.38,0.6
LOC_Os07g03160,LOC_Os07g03160.1,0.38,-0.48
LOC_Os03g17980,LOC_Os03g17980.1,0.38,-0.35
LOC_Os04g52900,LOC_Os04g52900.1,0.38,1.19
LOC_Os10g40110,LOC_Os10g40110.1,0.38,-0.25
LOC_Os02g27760,LOC_Os02g27760.1,0.38,0.51
LOC_Os05g15520,LOC_Os05g15520.1,0.38,0.37
LOC_Os02g09250,LOC_Os02g09250.1,0.38,-0.34
LOC_Os01g69030,LOC_Os01g69030.1,0.39,-0.41
LOC_Os04g43750,LOC_Os04g43750.1,0.39,-0.23
LOC_Os04g47370,LOC_Os04g47370.1,0.39,0.53
LOC_Os02g01920,LOC_Os02g01920.1,0.39,0.4
LOC_Os06g49780,LOC_Os06g49780.1,0.39,0.94
LOC_Os09g38030,LOC_Os09g38030.1,0.39,0.22
LOC_Os06g22650,LOC_Os06g22650.1,0.39,-0.79
LOC_Os02g52940,LOC_Os02g52940.1,0.39,0.45
LOC_Os06g09630,LOC_Os06g09630.1,0.39,-0.26
LOC_Os05g40420,LOC_Os05g40420.1,0.39,-0.24
LOC_Os09g23160,LOC_Os09g23160.1,0.39,-0.49
LOC_Os07g10150,LOC_Os07g10150.1,0.39,0.58
LOC_Os10g30640,LOC_Os10g30640.1,0.39,0.46
LOC_Os06g15990,LOC_Os06g15990.1,0.39,-0.27
LOC_Os05g51540,LOC_Os05g51540.1,0.4,0.36
LOC_Os06g43850,LOC_Os06g43850.1,0.4,0.31
LOC_Os08g31970,LOC_Os08g31970.1,0.4,-0.37
LOC_Os03g11410,LOC_Os03g11410.1,0.4,0.21
LOC_Os06g49110,LOC_Os06g49110.1,0.4,0.62
LOC_Os02g05480,LOC_Os02g05480.1,0.4,-0.36
LOC_Os07g44660,LOC_Os07g44660.1,0.4,-0.22
LOC_Os07g27180,LOC_Os07g27180.1,0.4,-0.39
LOC_Os01g46510,LOC_Os01g46510.1,0.4,0.4
LOC_Os12g01260,LOC_Os12g01260.1,0.4,0.49
LOC_Os08g23730,LOC_Os08g23730.1,0.4,-0.13
LOC_Os05g51180,LOC_Os05g51180.1,0.4,-0.47
LOC_Os05g48020,LOC_Os05g48020.1,0.4,0.77
LOC_Os01g13080,LOC_Os01g13080.1,0.4,0.28
LOC_Os06g12600,LOC_Os06g12600.1,0.4,-0.5
LOC_Os01g41880,LOC_Os01g41880.1,0.4,0.32
LOC_Os03g02710,LOC_Os03g02710.1,0.4,0.63
LOC_Os02g05630,LOC_Os02g05630.1,0.4,0.71
LOC_Os01g27520,LOC_Os01g27520.1,0.4,-0.51
LOC_Os08g20660,LOC_Os08g20660.1,0.4,0.26
LOC_Os03g58170,LOC_Os03g58170.1,0.4,0.56
LOC_Os09g12660,LOC_Os09g12660.1,0.41,-0.35
LOC_Os01g01960,LOC_Os01g01960.1,0.41,0.84
LOC_Os01g47690,LOC_Os01g47690.1,0.41,0.7
LOC_Os03g28400,LOC_Os03g28400.1,0.41,0.68
LOC_Os10g17454,LOC_Os10g17454.1,0.41,-0.29
LOC_Os06g35814,LOC_Os06g35814.1,0.41,0.55
LOC_Os03g50520,LOC_Os03g50520.1,0.41,0.67
LOC_Os01g70170,LOC_Os01g70170.1,0.41,0.67
LOC_Os03g21790,LOC_Os03g21790.1,0.41,-0.33
LOC_Os04g39980,LOC_Os04g39980.1,0.41,-0.46
LOC_Os01g04650,LOC_Os01g04650.1,0.41,0.45
LOC_Os08g41250,LOC_Os08g41250.1,0.41,0.55
LOC_Os04g58580,LOC_Os04g58580.1,0.41,0.47
LOC_Os09g24540,LOC_Os09g24540.1,0.41,-0.42
LOC_Os03g49400,LOC_Os03g49400.1,0.42,-0.66
LOC_Os06g33340,LOC_Os06g33340.1,0.42,-0.33
LOC_Os11g11020,LOC_Os11g11020.1,0.42,0.11
LOC_Os07g44410,LOC_Os07g44410.1,0.42,-0.41
LOC_Os09g39540,LOC_Os09g39540.1,0.42,1.23
LOC_Os10g35010,LOC_Os10g35010.1,0.42,-0.5
LOC_Os04g57440,LOC_Os04g57440.1,0.42,0.71
